ngram_min,ngram_max,sublinear_tf,avg_overall_novelty,avg_novelty,avg_overall_serendipity,avg_serendipity,rmse
1,1,TRUE,-1.4638648748,-1.4700616293,0.5046666714,0.5056657262,3.2220451511
1,1,FALSE,-1.4638687868,-1.4700651434,0.4934265056,0.4946198714,3.2210950934
1,5,TRUE,-1.4638582808,-1.4700563868,0.502626141,0.5038940471,3.2292489143
1,5,FALSE,-1.463867103,-1.4700631691,0.5037592935,0.505634955,3.2285857134
1,10,TRUE,-1.4638674889,-1.4700634964,0.4908884015,0.4923855017,3.2307876603
1,10,FALSE,-1.463872394,-1.4700707037,0.5013047795,0.5026558159,3.2303391811
