,avg_overall_novelty,avg_novelty,avg_overall_serendipity,avg_serendipity,rmse,coverage
BASELINE,-1.355412161810689,-1.3583123304750566,0.5295636939379638,0.5320319750674285,1.4509373941262982,0.2205005959475566
COLLABORATIVE FILTERING,-1.2209849768778662,-1.2209849768778662,0.5351006660611566,0.5351006660611566,3.483263958337041,0.000510812191384301
CONTENT,-1.4638613532304774,-1.4700564777197844,0.510895871913417,0.5125929852502844,3.2220451510644015,0.5208581644815257
DL,-1.4638689284751123,-1.4700663819850726,0.488046168155944,0.4957324639972561,2.6062524053435348,1.0
SVDPP,-1.2320347532823746,-1.2328515471096622,0.41596435538188575,0.41685378717927174,1.3909110306434926,0.2205005959475566
